Age,Gender,Study_Hours,Class_Attendance,Tuition,Exam_Frequency,Assignment_Load,Sleep_Hours,Physical_Exercise,Social_Media_Use,Screen_Time,Family_Income_Level,Peer_Pressure,Family_Support,Anxiety_Level,University_Type,Stress_Score,Stress_Level
23,Female,2,69,No,1,2,7,Yes,3,1,High,2,9,5,National University,-6,Low
22,Female,8,97,No,8,6,8,No,3,1,Low,8,9,4,Public University,5,Low
24,Male,5,98,Yes,5,4,5,Yes,1,4,Low,4,3,8,Private University,12,Medium
19,Female,4,79,No,6,2,8,No,5,4,Medium,9,2,6,Private University,13,Medium
20,Male,7,54,Yes,2,3,5,No,6,5,High,7,9,2,National University,4,Low
24,Female,7,47,No,8,2,9,No,4,4,Medium,4,9,4,National University,4,Low
24,Male,1,57,No,5,1,9,Yes,3,4,Medium,3,6,9,Public University,5,Low
23,Female,2,71,No,3,9,6,Yes,7,2,Low,2,7,7,Private University,13,Medium
22,Female,3,99,No,1,6,5,Yes,1,6,Medium,9,6,6,National University,7,Low
21,Female,2,82,Yes,5,2,8,Yes,1,9,Medium,5,9,7,National University,5,Low
19,Male,2,95,Yes,9,3,8,Yes,5,9,Medium,1,7,5,Private University,14,Medium
20,Female,8,70,Yes,6,1,8,No,3,7,Medium,3,3,6,Private University,12,Medium
24,Male,5,43,No,9,9,6,No,6,7,Low,1,1,5,National University,29,High
23,Male,3,50,No,8,1,8,Yes,2,1,Medium,9,7,7,Private University,2,Low
23,Female,6,95,Yes,5,2,8,No,2,3,High,2,8,3,Public University,-1,Low
24,Male,0,86,No,3,5,6,No,6,6,Medium,7,7,6,Public University,13,Medium
21,Male,6,42,Yes,1,3,9,No,5,9,Low,9,6,4,National University,7,Low
20,Female,0,88,Yes,1,3,5,No,5,7,Low,1,3,8,National University,16,Medium
24,Female,9,70,Yes,6,8,8,Yes,6,11,Medium,2,2,6,Private University,25,High
20,Male,4,76,No,6,7,6,Yes,5,7,Low,7,5,1,National University,13,Medium
19,Female,1,91,Yes,1,8,6,Yes,4,8,Medium,1,2,7,Private University,18,Medium
20,Male,8,66,Yes,7,6,8,Yes,0,8,High,9,8,8,National University,11,Medium
19,Female,3,83,Yes,4,7,5,Yes,5,9,Low,6,8,2,Public University,12,Medium
21,Female,4,95,Yes,5,5,4,Yes,7,9,Low,6,1,7,Private University,26,High
22,Female,0,58,Yes,3,9,6,Yes,5,2,Medium,6,1,7,Public University,17,Medium
22,Male,0,53,No,6,9,8,Yes,1,3,Medium,1,7,7,National University,9,Low
20,Female,4,41,No,9,4,8,Yes,2,10,Medium,2,8,1,Public University,8,Low
23,Male,4,97,Yes,9,8,7,No,3,2,Medium,8,8,4,Private University,11,Medium
22,Female,3,75,No,8,9,5,No,6,11,Medium,1,5,9,National University,33,High
23,Male,8,85,Yes,2,7,5,Yes,5,8,Medium,5,1,9,National University,23,High
22,Male,7,43,Yes,3,3,7,Yes,6,2,Low,3,9,9,Public University,5,Low
20,Male,3,56,No,6,1,9,No,7,11,Low,5,3,4,Public University,17,Medium
24,Male,3,93,Yes,2,1,6,Yes,4,6,High,1,1,9,Public University,13,Medium
24,Male,6,94,Yes,4,4,8,No,0,5,Medium,9,7,1,National University,-1,Low
24,Female,7,51,No,6,8,6,Yes,3,11,High,9,8,3,Public University,15,Medium
19,Female,9,85,Yes,4,3,5,No,5,8,High,5,3,8,Public University,20,Medium
23,Female,7,69,No,5,4,4,Yes,5,6,Medium,4,6,5,Public University,13,Medium
19,Male,0,70,Yes,2,8,4,No,7,11,Medium,1,1,7,Public University,30,High
22,Female,9,97,Yes,1,6,5,No,0,10,Medium,2,6,3,Public University,9,Low
19,Male,6,84,No,9,1,4,Yes,6,2,Low,7,6,8,Public University,14,Medium
21,Female,4,97,No,6,4,8,No,3,8,Medium,6,2,6,National University,17,Medium
21,Female,0,62,Yes,9,9,7,No,3,7,Medium,4,1,1,Public University,21,High
21,Female,7,59,No,8,8,8,Yes,0,5,Low,9,2,7,Private University,16,Medium
21,Female,0,74,No,8,8,6,No,2,10,High,4,3,6,Public University,25,High
19,Female,2,64,Yes,6,3,4,Yes,1,2,High,8,4,7,Public University,9,Low
21,Male,3,78,No,2,7,6,Yes,2,9,Low,5,7,7,Private University,12,Medium
21,Male,8,82,No,9,7,5,Yes,1,6,Low,5,7,1,Private University,10,Low
19,Female,7,68,Yes,4,2,6,Yes,0,8,Medium,2,9,3,Private University,0,Low
22,Male,2,83,Yes,1,4,9,Yes,4,8,Low,9,1,5,National University,10,Low
19,Male,3,86,Yes,2,1,4,No,1,9,Low,3,9,5,Private University,5,Low
23,Female,0,87,Yes,7,7,9,No,5,3,Low,9,7,3,National University,9,Low
21,Female,0,82,No,9,9,5,No,5,3,High,1,3,2,National University,20,Medium
24,Female,9,55,No,4,7,4,No,4,7,Medium,6,2,2,National University,18,Medium
21,Female,3,59,Yes,1,5,6,No,5,2,High,9,7,6,National University,6,Low
24,Female,0,97,Yes,8,2,5,No,2,7,Low,7,6,9,Public University,17,Medium
19,Female,1,81,Yes,8,5,5,No,0,3,Medium,2,1,6,Private University,16,Medium
20,Male,4,81,No,3,8,6,No,4,1,Medium,4,1,3,Private University,12,Medium
21,Male,7,94,Yes,4,2,8,Yes,0,10,Medium,6,9,6,National University,3,Low
21,Female,3,46,Yes,1,3,5,Yes,0,1,Medium,4,2,4,National University,0,Low
19,Male,7,63,No,2,6,9,No,3,11,Medium,4,2,3,National University,14,Medium
24,Female,9,64,No,9,8,6,Yes,6,11,Low,7,7,9,Private University,28,High
24,Female,8,94,No,5,3,8,Yes,0,1,Low,9,8,2,Private University,-7,Low
19,Male,5,91,Yes,4,5,7,Yes,2,11,Medium,4,6,5,National University,12,Medium
21,Female,5,46,No,4,8,4,No,6,4,Low,9,6,2,National University,14,Medium
22,Female,9,48,Yes,4,5,5,No,0,6,Medium,4,1,6,Public University,15,Medium
24,Male,6,90,Yes,4,5,4,No,4,6,Low,8,3,8,Private University,20,Medium
22,Female,6,80,No,5,5,7,No,7,1,Low,3,1,5,Private University,15,Medium
21,Female,2,82,No,5,3,8,Yes,4,2,Medium,6,1,1,National University,4,Low
24,Female,4,94,No,6,5,9,No,4,11,Low,3,1,2,National University,18,Medium
20,Female,0,83,Yes,2,5,7,Yes,0,11,High,6,1,1,Private University,9,Low
20,Female,5,67,No,6,5,6,No,0,7,Medium,1,4,8,Public University,16,Medium
19,Male,3,45,No,2,7,9,No,7,6,Low,3,1,4,Private University,16,Medium
19,Female,3,97,No,6,7,4,No,7,9,Low,3,5,4,Private University,24,High
21,Male,0,74,No,7,5,8,Yes,6,9,Low,4,6,6,National University,17,Medium
21,Male,5,41,No,2,6,5,No,2,11,Low,3,8,3,Public University,11,Medium
22,Male,5,43,No,3,9,9,No,0,1,Low,1,4,1,Private University,1,Low
24,Female,6,57,Yes,9,4,6,No,0,3,High,7,7,3,Private University,6,Low
23,Female,8,67,Yes,4,2,9,No,7,10,Medium,2,4,3,Private University,13,Medium
21,Female,7,68,Yes,2,5,7,Yes,7,3,Low,9,2,5,Private University,11,Medium
24,Female,3,64,Yes,3,3,4,No,2,11,Low,7,9,7,Private University,13,Medium
22,Female,2,70,No,2,6,8,Yes,7,11,Medium,3,1,1,Private University,16,Medium
20,Male,6,73,Yes,1,4,8,Yes,7,8,Medium,1,1,4,Private University,13,Medium
19,Female,0,66,Yes,9,5,9,No,2,4,Low,7,1,3,National University,13,Medium
21,Male,1,83,No,3,6,9,No,7,5,Low,4,2,2,National University,12,Medium
23,Female,1,82,No,2,1,8,No,3,4,Medium,8,5,7,National University,4,Low
21,Female,8,75,No,1,1,7,No,7,4,Medium,4,8,5,Public University,3,Low
23,Male,0,76,Yes,1,9,6,No,3,3,Medium,8,6,8,Private University,12,Medium
20,Male,0,44,Yes,2,4,8,No,2,4,High,2,5,5,Public University,4,Low
19,Female,7,73,Yes,7,2,5,No,7,10,High,2,2,9,Public University,28,High
21,Male,5,82,No,4,8,9,Yes,1,7,High,8,2,2,National University,9,Low
20,Female,0,48,Yes,6,5,6,No,3,8,Medium,3,1,4,Public University,19,Medium
22,Female,5,40,No,5,9,8,Yes,1,9,Medium,4,8,7,Private University,13,Medium
22,Male,3,64,No,5,7,5,Yes,6,10,Medium,2,5,3,Public University,19,Medium
24,Female,2,80,Yes,1,5,5,Yes,1,8,Medium,5,2,4,Public University,10,Low
21,Female,5,75,No,5,9,8,Yes,4,9,Medium,2,1,7,National University,23,High
21,Female,3,74,No,8,2,4,Yes,7,1,Medium,4,2,7,Private University,17,Medium
21,Male,6,43,Yes,7,7,5,Yes,0,4,Medium,9,2,9,National University,18,Medium
24,Female,1,55,No,5,2,8,No,4,9,Medium,1,2,9,Private University,19,Medium
24,Female,6,89,Yes,9,9,7,No,3,5,Medium,3,2,1,Private University,18,Medium
19,Female,6,70,No,5,7,5,Yes,0,11,Medium,3,4,2,Public University,14,Medium
23,Female,0,42,No,7,1,7,Yes,1,10,Medium,5,3,9,Private University,16,Medium
23,Female,2,56,No,6,3,6,Yes,0,11,Medium,5,2,4,Public University,14,Medium
21,Male,1,66,Yes,6,1,4,No,3,2,Low,5,4,2,Private University,6,Low
19,Female,8,56,Yes,8,6,5,No,1,9,Low,4,1,1,National University,19,Medium
23,Male,2,76,Yes,1,1,8,Yes,3,1,Medium,1,9,5,National University,-8,Low
24,Female,8,66,No,2,6,6,No,6,2,Medium,1,2,9,National University,17,Medium
20,Male,9,89,Yes,7,3,8,Yes,1,9,High,2,9,7,National University,8,Low
22,Female,9,91,No,2,9,6,No,3,2,Low,4,3,1,Public University,8,Low
20,Female,7,73,No,4,8,6,No,3,4,Low,5,1,3,Public University,15,Medium
24,Female,6,92,Yes,4,3,8,No,1,1,High,8,7,3,Private University,-3,Low
22,Female,3,69,Yes,2,8,5,Yes,7,2,High,4,8,6,Private University,10,Low
20,Male,8,50,Yes,3,2,6,Yes,3,1,Medium,3,3,9,Private University,7,Low
20,Female,4,79,No,3,9,8,Yes,6,9,Medium,5,9,4,Private University,12,Medium
20,Male,9,74,Yes,5,7,9,Yes,3,6,Medium,7,4,2,Public University,8,Low
19,Male,0,76,Yes,6,4,5,No,5,11,Medium,4,2,9,National University,28,High
19,Male,8,54,No,2,9,6,Yes,2,10,Low,9,1,1,Private University,15,Medium
24,Male,4,88,Yes,6,7,6,Yes,7,1,Medium,5,6,3,Private University,10,Low
20,Male,5,98,Yes,6,5,6,No,7,3,Low,9,4,3,National University,14,Medium
20,Male,0,87,Yes,8,6,7,No,3,9,Medium,6,2,5,Private University,22,High
23,Female,5,75,No,4,4,9,No,6,2,Low,3,2,8,National University,13,Medium
24,Male,2,49,No,5,2,9,No,2,8,Low,9,1,4,Public University,11,Medium
21,Female,2,59,Yes,6,2,8,No,3,6,High,2,2,1,Public University,8,Low
23,Female,3,71,No,9,8,7,No,0,6,Low,9,9,3,National University,10,Low
22,Male,5,98,No,3,2,8,No,4,4,Medium,2,4,9,National University,10,Low
24,Female,3,61,Yes,6,7,7,Yes,7,8,Medium,6,6,7,Public University,20,Medium
24,Male,7,63,No,3,5,4,Yes,4,9,Medium,7,3,8,National University,20,Medium
19,Male,1,67,Yes,9,4,5,No,2,5,Medium,4,6,4,National University,13,Medium
22,Male,7,40,No,2,8,9,Yes,4,10,Low,2,4,4,Private University,13,Medium
22,Male,6,61,No,3,4,8,No,2,4,Medium,7,2,7,Private University,10,Low
20,Female,9,46,Yes,3,6,8,No,3,6,Low,3,7,8,Public University,11,Medium
22,Female,9,74,No,4,5,5,Yes,4,3,Medium,7,6,9,Public University,12,Medium
21,Male,5,54,No,5,9,9,No,3,5,Low,7,2,8,National University,19,Medium
24,Male,5,79,Yes,3,7,7,Yes,1,1,Low,3,2,1,Private University,2,Low
23,Male,7,41,Yes,1,7,8,No,0,7,Low,9,5,8,National University,10,Low
20,Female,8,45,Yes,4,7,9,Yes,2,9,Medium,9,6,8,Private University,13,Medium
24,Female,5,43,No,3,2,4,Yes,5,1,High,3,2,5,Private University,8,Low
24,Male,1,99,No,7,8,6,Yes,3,3,High,9,9,5,Private University,9,Low
23,Male,7,89,Yes,6,9,9,Yes,3,10,Low,5,8,3,National University,12,Medium
22,Male,6,42,No,1,2,5,Yes,2,10,Low,5,9,8,National University,7,Low
22,Male,4,64,Yes,5,2,6,Yes,3,10,Low,9,6,7,National University,13,Medium
21,Male,6,46,No,4,5,8,Yes,1,2,Medium,8,6,2,National University,-2,Low
19,Male,0,96,No,4,3,7,No,5,7,High,1,4,4,National University,12,Medium
24,Female,0,69,No,9,2,7,No,4,2,High,5,5,6,Private University,11,Medium
20,Male,0,51,Yes,6,8,9,Yes,0,3,Medium,5,9,8,National University,5,Low
19,Male,3,40,Yes,6,9,4,No,2,2,Low,5,9,8,National University,14,Medium
23,Female,8,54,No,6,7,5,Yes,7,10,Medium,6,3,9,Public University,29,High
23,Female,3,62,No,5,4,8,No,7,1,Low,5,3,1,Private University,7,Low
24,Male,9,57,Yes,1,6,6,Yes,2,2,Medium,3,4,5,National University,4,Low
23,Female,8,76,Yes,3,4,5,Yes,7,3,High,4,6,5,Public University,9,Low
22,Female,3,52,No,8,3,6,No,7,5,Low,9,3,2,Private University,16,Medium
20,Female,5,58,Yes,6,8,5,Yes,6,9,Low,7,2,8,Private University,28,High
20,Male,5,76,No,7,2,7,No,6,3,Low,8,9,5,Public University,7,Low
19,Male,3,55,Yes,9,7,9,No,3,5,Low,4,1,1,Public University,15,Medium
21,Female,3,45,No,3,7,7,No,5,3,Medium,1,8,9,National University,12,Medium
21,Male,6,96,Yes,1,3,7,No,0,4,Medium,2,1,1,Private University,1,Low
23,Male,0,91,Yes,8,8,7,No,6,3,Medium,8,3,9,Private University,24,High
20,Female,0,63,Yes,7,4,7,No,5,7,High,5,4,7,Public University,19,Medium
23,Male,3,53,Yes,2,2,6,Yes,6,8,Medium,7,2,8,Public University,16,Medium
20,Female,8,47,Yes,6,7,8,Yes,4,8,Low,5,8,8,Private University,15,Medium
24,Female,6,64,Yes,7,9,9,No,7,6,Medium,2,8,2,Public University,14,Medium
22,Female,5,60,Yes,2,2,6,No,1,8,Low,1,9,5,Public University,3,Low
23,Female,5,60,No,3,6,8,Yes,2,3,Low,4,8,3,National University,-1,Low
24,Female,2,66,No,1,7,8,Yes,5,11,Medium,3,4,1,National University,11,Medium
23,Male,8,83,No,7,5,9,No,4,8,Medium,1,2,1,Private University,14,Medium
22,Female,0,77,Yes,3,9,4,No,1,2,Medium,8,5,6,Private University,12,Medium
22,Female,5,66,No,1,6,9,Yes,1,7,High,1,4,2,Private University,2,Low
21,Female,1,89,Yes,7,8,8,No,6,11,Low,3,2,9,Private University,31,High
23,Female,8,75,No,3,8,5,No,3,5,High,9,9,4,Private University,9,Low
23,Male,5,77,Yes,9,3,5,Yes,5,3,Low,9,6,4,National University,11,Medium
23,Male,5,79,Yes,2,7,6,No,0,5,Medium,8,4,3,Private University,7,Low
20,Male,0,81,No,4,3,7,No,5,9,Low,3,1,1,Public University,14,Medium
21,Female,6,89,Yes,5,6,5,No,7,6,Medium,6,8,8,Private University,19,Medium
24,Male,2,94,No,8,8,6,Yes,2,2,Medium,3,1,7,Public University,18,Medium
24,Female,8,44,No,1,7,8,Yes,7,6,Low,4,9,9,Private University,11,Medium
21,Female,4,42,Yes,5,5,8,Yes,3,11,Low,8,5,2,Private University,11,Medium
22,Female,1,92,No,1,4,5,Yes,6,11,Medium,8,7,9,Public University,17,Medium
20,Male,3,86,Yes,9,1,8,Yes,5,5,Medium,5,1,9,Public University,18,Medium
24,Female,9,44,No,7,8,8,No,2,2,Low,9,3,8,Private University,16,Medium
20,Female,6,65,Yes,7,2,7,No,2,6,Medium,7,7,1,Public University,4,Low
23,Female,2,54,No,4,6,5,No,5,3,Medium,4,7,9,National University,15,Medium
22,Male,1,70,No,8,5,9,Yes,6,1,High,6,6,2,Private University,5,Low
23,Male,6,40,Yes,5,1,7,No,0,1,Medium,4,5,7,National University,2,Low
23,Female,2,72,Yes,5,4,8,No,0,11,Medium,9,4,8,Public University,16,Medium
22,Male,4,89,No,9,3,5,Yes,4,8,Medium,7,6,5,Private University,16,Medium
24,Male,2,57,Yes,3,1,4,No,7,3,Medium,7,3,7,National University,14,Medium
22,Male,4,58,Yes,4,6,7,No,6,8,Medium,8,5,6,National University,18,Medium
23,Male,4,45,No,1,1,7,No,0,6,Medium,9,9,9,National University,1,Low
22,Male,6,64,Yes,1,3,4,No,4,5,Low,1,2,8,Public University,15,Medium
23,Female,2,93,No,7,4,7,No,7,3,Low,8,6,3,Public University,11,Medium
22,Female,1,96,No,5,6,5,Yes,6,8,Low,9,5,3,Private University,16,Medium
22,Male,4,56,No,8,7,9,No,4,4,Low,6,9,1,Private University,6,Low
24,Female,1,59,No,6,9,5,Yes,1,10,Medium,5,1,7,National University,25,High
20,Female,3,86,No,9,6,4,No,1,6,Medium,2,8,8,Public University,18,Medium
20,Female,4,90,No,9,1,7,No,5,5,Medium,3,1,5,Public University,17,Medium
24,Male,8,54,No,8,3,9,Yes,2,4,Low,4,7,1,Public University,0,Low
23,Female,2,54,Yes,8,4,8,No,4,8,Low,6,9,3,National University,10,Low
22,Female,9,70,No,6,2,9,Yes,0,2,Medium,3,3,2,Public University,-2,Low
20,Male,4,92,Yes,9,7,5,No,1,3,High,8,4,3,Private University,14,Medium
20,Female,9,49,Yes,5,9,7,Yes,5,4,Medium,8,4,1,Public University,11,Medium
19,Female,2,80,No,9,4,6,No,5,4,Low,5,9,5,Private University,12,Medium
24,Female,5,82,Yes,6,9,5,Yes,4,8,High,8,7,8,Private University,21,High
21,Female,8,78,No,7,8,9,Yes,7,8,High,8,7,5,Private University,17,Medium
21,Male,7,97,No,2,7,6,No,3,8,Low,6,1,2,Public University,15,Medium
21,Female,8,44,No,2,5,4,Yes,0,8,Medium,4,8,9,Public University,10,Low
22,Female,3,66,No,6,5,9,Yes,1,4,Medium,6,4,8,National University,9,Low
23,Male,6,86,Yes,7,8,8,No,1,10,High,9,6,9,Public University,21,High
24,Male,3,88,No,1,4,5,Yes,3,5,Medium,8,2,5,Private University,9,Low
24,Female,7,65,Yes,2,1,8,No,4,8,Medium,6,9,8,Private University,6,Low
24,Male,9,66,No,7,3,4,Yes,6,2,Low,6,3,2,National University,11,Medium
19,Female,0,72,No,7,3,7,Yes,2,9,Low,3,3,7,Public University,16,Medium
20,Female,9,74,Yes,2,4,6,Yes,6,6,Low,2,7,6,National University,9,Low
24,Female,5,99,No,9,8,9,Yes,7,5,Low,7,9,2,National University,11,Medium
21,Female,7,67,Yes,8,6,6,Yes,6,9,Medium,5,2,5,National University,24,High
19,Male,9,88,No,1,2,9,No,7,3,Low,8,4,3,Private University,3,Low
19,Male,2,43,No,8,7,4,Yes,1,6,Low,9,7,7,National University,16,Medium
20,Male,6,41,Yes,9,3,9,Yes,7,1,Medium,8,7,6,Private University,8,Low
22,Female,7,66,No,3,1,4,Yes,1,2,Medium,9,9,1,National University,-7,Low
21,Male,7,70,Yes,7,1,5,No,2,5,Medium,6,6,3,National University,7,Low
22,Male,0,68,Yes,6,7,6,Yes,4,2,Medium,9,2,7,Public University,16,Medium
21,Male,4,77,Yes,6,4,6,Yes,5,4,Medium,2,9,2,National University,4,Low
24,Female,7,41,Yes,1,2,7,Yes,1,3,Low,6,9,8,National University,-3,Low
23,Male,1,56,Yes,3,6,5,No,0,5,Low,2,3,9,National University,15,Medium
24,Female,6,41,No,6,6,8,Yes,4,4,Low,5,4,3,Public University,9,Low
23,Male,6,94,Yes,3,1,6,No,4,5,Medium,2,3,5,Private University,9,Low
20,Male,5,91,No,2,1,7,No,7,6,Low,8,5,1,Public University,5,Low
21,Male,3,68,Yes,1,3,4,No,6,11,Medium,7,1,2,Public University,18,Medium
23,Female,1,83,Yes,3,3,4,Yes,3,9,Medium,8,1,1,Private University,12,Medium
19,Female,4,66,Yes,2,4,6,No,4,3,Low,4,8,3,Private University,2,Low
21,Female,3,66,Yes,8,9,4,Yes,1,5,Medium,4,9,3,Public University,11,Medium
23,Male,5,45,No,2,9,5,No,4,6,Medium,3,8,6,Public University,14,Medium
19,Male,1,77,Yes,1,8,7,Yes,3,10,Low,8,5,8,National University,16,Medium
21,Male,6,48,No,2,9,5,Yes,7,5,Medium,6,5,2,Public University,13,Medium
23,Female,5,46,No,9,7,5,No,2,1,High,5,9,1,Private University,6,Low
22,Female,1,56,Yes,2,3,9,Yes,7,11,Medium,3,8,9,Public University,13,Medium
24,Female,9,77,No,9,7,4,Yes,4,7,Low,6,4,1,Public University,18,Medium
21,Male,9,41,No,7,4,6,Yes,1,10,Low,6,4,3,National University,13,Medium
24,Female,4,49,No,9,1,8,No,6,9,Medium,6,9,3,Private University,11,Medium
22,Female,0,55,No,2,4,9,Yes,0,2,High,1,4,6,Public University,-1,Low
20,Male,1,69,Yes,5,6,7,No,0,6,Medium,5,9,3,Public University,4,Low
24,Female,7,79,No,4,7,7,Yes,1,5,Medium,5,2,9,Private University,15,Medium
22,Female,0,54,No,9,1,5,No,3,7,Low,1,2,4,National University,17,Medium
22,Female,3,48,No,6,4,7,No,3,8,Medium,3,3,6,Private University,17,Medium
21,Male,2,63,Yes,2,6,9,Yes,6,9,Medium,4,7,2,Private University,7,Low
21,Female,1,72,Yes,7,4,6,No,3,8,Medium,1,3,8,Private University,21,High
22,Male,4,79,No,3,1,6,No,4,10,Medium,2,3,1,Public University,10,Low
20,Female,6,53,No,9,7,7,No,2,4,Medium,8,4,9,Public University,20,Medium
21,Male,0,47,No,2,1,5,Yes,2,1,High,4,8,1,Private University,-8,Low
20,Male,7,85,Yes,6,8,5,No,6,1,Medium,1,9,8,National University,15,Medium
20,Male,4,87,No,3,6,9,No,5,5,Medium,5,8,8,Private University,10,Low
22,Female,6,89,No,5,1,7,No,2,1,Medium,1,2,6,Private University,6,Low
20,Male,8,98,Yes,7,6,6,No,4,1,Medium,1,3,4,Private University,13,Medium
23,Female,1,58,Yes,6,9,5,Yes,7,4,Medium,4,7,5,Private University,17,Medium
22,Female,0,61,No,4,1,5,Yes,6,1,High,4,2,2,Public University,5,Low
22,Male,9,46,No,7,9,4,No,0,5,High,4,7,3,National University,13,Medium
23,Male,4,87,Yes,3,5,4,Yes,2,6,Low,2,3,2,National University,9,Low
23,Male,5,51,Yes,1,6,4,No,1,1,Low,9,6,6,Private University,5,Low
22,Female,6,86,Yes,8,5,9,No,7,2,Low,3,4,5,Public University,14,Medium
24,Male,6,56,No,2,1,5,Yes,4,7,Low,7,3,6,Private University,10,Low
20,Male,6,88,No,6,4,6,No,6,6,Low,1,1,3,Public University,18,Medium
21,Female,7,40,No,5,2,7,No,1,3,Medium,1,7,3,Private University,0,Low
20,Female,8,54,Yes,3,1,7,No,5,5,Low,8,9,3,Public University,1,Low
21,Male,2,46,No,9,6,5,No,0,1,Low,6,8,2,Public University,5,Low
19,Female,4,95,Yes,9,5,9,Yes,6,2,Medium,2,2,1,Public University,10,Low
22,Female,9,42,Yes,5,1,4,No,5,8,Low,9,9,2,Public University,8,Low
22,Female,9,98,No,7,4,9,No,5,3,Medium,5,5,1,National University,6,Low
19,Male,5,80,Yes,8,8,5,Yes,0,2,Medium,9,1,7,Public University,17,Medium
20,Male,7,44,Yes,3,7,9,No,2,8,Low,2,2,7,Public University,16,Medium
19,Female,7,72,Yes,1,5,4,No,6,11,Medium,3,9,6,Private University,16,Medium
21,Male,6,68,Yes,7,3,4,No,2,6,High,8,6,9,National University,17,Medium
23,Female,0,99,Yes,4,5,7,No,0,4,Medium,1,2,4,Public University,8,Low
23,Male,7,63,Yes,7,4,6,Yes,4,10,Medium,3,8,8,Public University,17,Medium
19,Female,1,98,No,8,9,9,No,3,5,Medium,5,8,6,Private University,14,Medium
22,Female,7,53,No,4,2,8,No,2,10,Medium,2,4,6,National University,12,Medium
20,Female,6,95,Yes,2,1,7,Yes,6,4,Medium,8,6,8,Private University,6,Low
20,Female,3,69,No,7,6,7,No,2,11,Low,6,6,3,Private University,16,Medium
24,Female,0,77,No,5,3,6,No,5,3,Low,5,9,2,National University,3,Low
24,Female,0,45,No,7,3,5,No,0,11,Low,3,6,9,Private University,19,Medium
23,Female,9,71,Yes,5,3,7,Yes,0,3,Medium,9,7,9,Public University,4,Low
22,Female,0,88,No,3,7,6,Yes,0,2,Medium,4,5,1,Private University,0,Low
22,Male,4,99,No,2,2,5,Yes,1,3,High,6,7,8,Private University,2,Low
21,Female,9,41,No,5,8,4,No,5,4,Medium,1,2,3,Public University,19,Medium
19,Male,2,87,Yes,4,2,5,Yes,0,4,Low,8,9,1,Public University,-5,Low
21,Female,3,40,Yes,7,8,8,Yes,7,5,Low,2,4,4,Public University,17,Medium
24,Male,6,76,No,9,3,4,Yes,6,4,Medium,5,1,5,Public University,20,Medium
22,Female,8,76,Yes,3,5,6,No,5,6,Low,3,1,4,Private University,16,Medium
23,Male,6,78,No,2,7,6,No,6,2,High,5,9,9,National University,11,Medium
20,Female,8,88,No,7,8,9,Yes,6,10,Medium,2,8,4,Public University,16,Medium
22,Male,0,73,Yes,4,8,8,Yes,6,5,Low,8,4,1,National University,10,Low
20,Female,8,70,No,3,8,7,Yes,2,6,High,5,9,9,National University,10,Low
20,Male,1,40,Yes,7,5,7,No,6,3,Low,4,1,1,Private University,14,Medium
23,Male,1,52,Yes,9,1,7,Yes,5,2,Low,2,9,3,National University,2,Low
24,Female,3,80,Yes,2,1,4,Yes,3,8,Low,2,7,6,Public University,7,Low
19,Female,1,85,Yes,3,6,9,Yes,4,2,High,8,8,6,National University,2,Low
23,Female,4,48,No,8,1,6,No,2,4,Medium,2,6,5,Private University,8,Low
24,Male,8,48,No,2,7,9,No,5,6,Medium,6,5,1,National University,7,Low
22,Female,0,90,No,8,2,6,Yes,6,5,Low,8,8,5,Private University,10,Low
22,Male,2,59,Yes,5,5,5,Yes,6,3,Low,6,3,4,Public University,13,Medium
21,Female,4,80,Yes,8,5,7,No,3,4,High,1,9,4,Public University,8,Low
20,Female,4,81,Yes,7,6,4,Yes,0,9,Medium,3,2,9,Public University,23,High
24,Male,0,85,No,2,6,4,Yes,5,4,Low,4,1,4,Private University,14,Medium
19,Male,0,87,Yes,1,9,8,No,5,8,High,6,9,6,Public University,12,Medium
21,Male,5,80,No,9,5,6,No,0,11,Low,3,4,8,Public University,23,High
24,Female,2,66,Yes,6,3,6,Yes,5,10,Low,8,7,7,Private University,16,Medium
19,Female,6,63,No,1,6,7,Yes,7,10,Low,7,4,3,Private University,14,Medium
23,Male,0,52,No,4,9,5,Yes,2,10,High,1,1,7,Public University,24,High
24,Female,4,46,No,2,8,9,No,2,1,High,6,6,1,National University,-1,Low
22,Male,1,75,Yes,5,6,9,No,6,5,High,9,5,3,National University,11,Medium
24,Female,7,99,Yes,1,7,7,No,2,5,High,1,6,8,Public University,10,Low
24,Male,3,71,No,7,2,9,No,6,5,Low,9,9,5,Private University,7,Low
19,Female,9,99,Yes,9,6,9,No,5,3,Medium,9,2,7,National University,19,Medium
20,Male,1,50,No,8,4,9,No,0,5,Medium,9,3,7,Public University,12,Medium
22,Male,1,71,No,7,3,5,No,7,10,High,7,2,3,Private University,23,High
23,Male,0,88,Yes,8,5,4,No,4,8,Medium,7,9,2,Public University,14,Medium
20,Male,3,56,No,3,1,6,Yes,2,1,High,9,3,9,Private University,5,Low
24,Male,4,62,No,5,7,5,No,1,8,Medium,5,3,2,National University,15,Medium
24,Female,8,45,No,7,2,9,No,0,4,Low,9,9,2,National University,-3,Low
22,Male,3,71,Yes,3,4,8,Yes,7,5,High,6,3,4,Private University,10,Low
22,Female,9,97,Yes,1,1,6,Yes,0,4,Low,9,6,3,Private University,-5,Low
22,Male,3,68,No,4,9,8,No,4,3,Low,1,7,8,National University,13,Medium
